日付,時刻,降水量,気温,露点温度,蒸気圧,湿度,風速,風向,日照時間,降雪,積雪
2024-01-01,0,0.0,-0.2,,,,1.1,北西,,,
2024-01-01,1,0.0,9.3,,,,8.2,北西,,,
2024-01-01,2,0.0,8.7,,,,7.2,北北西,,,
2024-01-01,3,0.0,7.6,,,,5.9,北北西,,,
2024-01-01,4,0.0,7.4,,,,6.0,北北西,,,
2024-01-01,5,0.0,6.5,,,,5.9,北北西,,,
2024-01-01,6,0.0,6.1,,,,6.1,北北西,,,
2024-01-01,7,0.0,5.6,,,,6.1,北西,0.0,,
2024-01-01,8,0.0,5.9,,,,5.6,北北西,0.8,,
2024-01-01,9,0.0,6.9,,,,6.6,北北西,1.0,,
2024-01-01,10,0.0,7.4,,,,7.8,北北西,1.0,,
2024-01-01,11,0.0,8.1,,,,7.9,北北西,1.0,,
2024-01-01,12,0.0,9.3,,,,6.3,北北西,1.0,,
2024-01-01,13,0.0,9.6,,,,8.1,北西,1.0,,
2024-01-01,14,0.0,10.0,,,,6.7,北西,1.0,,
2024-01-01,15,0.0,9.6,,,,3.9,北西,1.0,,
2024-01-01,16,0.0,8.1,,,,5.9,北西,0.8,,
2024-01-01,17,0.0,6.7,,,,5.2,北西,0.0,,
2024-01-01,18,0.0,5.8,,,,5.4,北西,,,
2024-01-01,19,0.0,3.6,,,,1.0,西北西,,,
2024-01-01,20,0.0,2.9,,,,1.2,北西,,,
2024-01-01,21,0.0,1.3,,,,0.3,北西,,,
2024-01-01,22,0.0,1.4,,,,1.9,北西,,,
2024-01-01,23,0.0,0.7,,,,1.9,西北西,,,
2024-01-02,0,0.0,0.2,,,,0.7,西北西,,,
2024-01-02,1,0.0,-0.1,,,,1.9,西北西,,,
2024-01-02,2,0.0,-0.7,,,,1.1,西北西,,,
2024-01-02,3,0.0,-0.7,,,,1.6,西北西,,,
2024-01-02,4,0.0,-2.6,,,,0.2,静穏,,,
2024-01-02,5,0.0,-1.9,,,,0.6,北西,,,
2024-01-02,6,0.0,-1.8,,,,0.4,西北西,,,
2024-01-02,7,0.0,-2.2,,,,0.1,静穏,0.0,,
2024-01-02,8,0.0,-0.8,,,,0.1,静穏,0.0,,
2024-01-02,9,0.0,0.4,,,,1.5,北西,0.0,,
2024-01-02,10,0.0,2.3,,,,1.5,北北西,0.0,,
2024-01-02,11,0.0,4.7,,,,1.0,北西,0.0,,
2024-01-02,12,0.0,4.7,,,,2.6,東南東,0.0,,
2024-01-02,13,0.0,5.6,,,,2.4,東南東,0.2,,
2024-01-02,14,0.0,6.3,,,,0.9,東,0.7,,
2024-01-02,15,0.0,6.3,,,,0.5,南南東,1.0,,
2024-01-02,16,0.0,5.5,,,,1.3,南西,0.8,,
2024-01-02,17,0.0,4.0,,,,0.9,南西,0.0,,
2024-01-02,18,0.0,2.2,,,,1.0,北西,,,
2024-01-02,19,0.0,1.6,,,,0.1,静穏,,,
2024-01-02,20,0.0,1.8,,,,1.0,北西,,,
2024-01-02,21,0.0,1.0,,,,0.1,静穏,,,
2024-01-02,22,0.0,0.8,,,,1.4,西北西,,,
2024-01-02,23,0.0,0.3,,,,0.6,西北西,,,
2024-01-03,0,0.0,4.1,,,,0.8,西,,,
