日付,時刻,降水量(mm),気温(℃),露点温度(℃),蒸気圧(hPa),湿度(％),平均風速(m/s),風向,日照時間(h),降雪(cm),積雪(cm)
2024-06-01,1,0,15.3,///,///,///,0.6,南南東,,///,///
2024-06-01,2,0,15,///,///,///,1.3,南南東,,///,///
2024-06-01,3,0,14.9,///,///,///,1.4,南東,,///,///
2024-06-01,4,0,14.8,///,///,///,0.8,南東,,///,///
2024-06-01,5,0,14.8,///,///,///,0.5,西,0,///,///
2024-06-01,6,0,15.6,///,///,///,0.9,西北西,0.1,///,///
2024-06-01,7,0,16.2,///,///,///,1,東南東,0.3,///,///
2024-06-01,8,0,17.3,///,///,///,1.3,南東,0.1,///,///
2024-06-01,9,0,18.2,///,///,///,1.1,南,0.3,///,///
2024-06-01,10,0,19.8,///,///,///,0.9,東南東,0.7,///,///
2024-06-01,11,0,21.9,///,///,///,1.1,東,1,///,///
2024-06-01,12,0,23.2,///,///,///,2.3,東南東,1,///,///
2024-06-01,13,0,24.3,///,///,///,2,南東,1,///,///
2024-06-01,14,0,25.4,///,///,///,1.6,南東,1,///,///
2024-06-01,15,0,25.4,///,///,///,1.6,南南東,0.9,///,///
2024-06-01,16,0,23.7,///,///,///,2.5,南東,0.4,///,///
2024-06-01,17,0,23,///,///,///,2,東南東,0.2,///,///
2024-06-01,18,0,21.4,///,///,///,2.2,東南東,0,///,///
2024-06-01,19,0,20.6,///,///,///,2.5,東南東,0,///,///
2024-06-01,20,0,19.9,///,///,///,2.1,南東,,///,///
2024-06-01,21,0,19.3,///,///,///,2.8,東南東,,///,///
2024-06-01,22,0,18.4,///,///,///,1.5,東南東,,///,///
2024-06-01,23,7.5,16.6,///,///,///,0.5,北北西,,///,///
2024-06-01,24,1.5,15.8,///,///,///,0.6,南南西,,///,///
2024-06-02,1,0.5,15.7,///,///,///,1.3,南南東,,///,///
2024-06-02,2,0,15.8,///,///,///,0.5,南,,///,///
2024-06-02,3,0,15.8,///,///,///,1.1,南東,,///,///
2024-06-02,4,0,15.7,///,///,///,0.4,南南西,,///,///
2024-06-02,5,0,15.9,///,///,///,1,南南西,0,///,///
2024-06-02,6,0,16.4,///,///,///,1.3,東南東,0,///,///
2024-06-02,7,0,16.9,///,///,///,1.3,東南東,0,///,///
2024-06-02,8,0,18.1,///,///,///,1.1,南東,0,///,///
2024-06-02,9,0,19.9,///,///,///,2.9,東南東,0.7,///,///
2024-06-02,10,0,20,///,///,///,3.1,南東,0.3,///,///
2024-06-02,11,0,20.1,///,///,///,2.4,南東,0,///,///
2024-06-02,12,0,19.3,///,///,///,3.1,北北西,0,///,///
2024-06-02,13,5,17.8,///,///,///,2.1,南南東,0,///,///
2024-06-02,14,1,16.8,///,///,///,2.2,東南東,0,///,///
2024-06-02,15,1.5,17.1,///,///,///,0.9,南東,0,///,///
2024-06-02,16,0.5,17.1,///,///,///,0.7,南南東,0,///,///
2024-06-02,17,0.5,16.1,///,///,///,0.9,西南西,0,///,///
2024-06-02,18,0,16.2,///,///,///,0.9,西,0,///,///
2024-06-02,19,0,15.8,///,///,///,1.1,南西,0,///,///
2024-06-02,20,0,15.7,///,///,///,1.1,西,,///,///
2024-06-02,21,0,15.6,///,///,///,1,南西,,///,///
2024-06-02,22,0,15.4,///,///,///,0.9,西,,///,///
2024-06-02,23,0,15.5,///,///,///,1.9,北西,,///,///
2024-06-02,24,0,15.1,///,///,///,2.3,西北西,,///,///
2024-06-03,1,0,14.5,///,///,///,0.5,南東,,///,///
2024-06-03,2,0,14.1,///,///,///,0.7,西,,///,///
2024-06-03,3,0,14.4,///,///,///,0.7,西北西,,///,///
2024-06-03,4,0,14.6,///,///,///,1.7,北北西,,///,///
2024-06-03,5,0,14.3,///,///,///,0.4,西南西,0,///,///
2024-06-03,6,0,15.3,///,///,///,1.4,北西,0,///,///
2024-06-03,7,0,16.2,///,///,///,1.2,南南東,0.3,///,///
2024-06-03,8,0,18,///,///,///,0.8,北東,0.7,///,///
2024-06-03,9,0,19.1,///,///,///,1.5,東南東,1,///,///
2024-06-03,10,0,20.5,///,///,///,0.9,東南東,0.8,///,///
